ELEM_POPN,Pred_school_num,PSGC_BRGY
93.0,1.0,PH150702004
86.0,1.0,PH150702054
124.0,1.0,PH150702056
128.0,1.0,PH150702057
127.0,1.0,PH150702063
762.0,2.0,PH150702069
125.0,1.0,PH150702070
185.0,1.0,PH150703026
90.0,1.0,PH150703029
125.0,1.0,PH150703030
116.0,1.0,PH150703036
257.0,1.0,PH150704004
184.0,1.0,PH150704006
139.0,1.0,PH150704007
1131.0,2.0,PH150704012
419.0,1.0,PH150704020
158.0,1.0,PH150705002
251.0,1.0,PH150705027
406.0,1.0,PH150705043
462.0,1.0,PH150707005
379.0,1.0,PH150707033
379.0,1.0,PH150707040
235.0,1.0,PH150708005
341.0,1.0,PH150708006
485.0,1.0,PH150708009
203.0,1.0,PH150709001
504.0,1.0,PH150709007
195.0,1.0,PH150709010
391.0,1.0,PH150709013
162.0,1.0,PH150709014
398.0,1.0,PH153601009
153.0,1.0,PH153601010
108.0,1.0,PH153601011
153.0,1.0,PH153601014
175.0,1.0,PH153601018
128.0,1.0,PH153601021
132.0,1.0,PH153601028
158.0,1.0,PH153602006
146.0,1.0,PH153602014
133.0,1.0,PH153602015
64.0,1.0,PH153602019
163.0,1.0,PH153602022
167.0,1.0,PH153602029
200.0,1.0,PH153602050
256.0,1.0,PH153602052
160.0,1.0,PH153602054
194.0,1.0,PH153602055
143.0,1.0,PH153603007
168.0,1.0,PH153603011
153.0,1.0,PH153603016
41.0,1.0,PH153603018
141.0,1.0,PH153603024
59.0,1.0,PH153603026
147.0,1.0,PH153603027
108.0,1.0,PH153603035
91.0,1.0,PH153603037
181.0,1.0,PH153603041
119.0,1.0,PH153603042
87.0,1.0,PH153603054
150.0,1.0,PH153604004
206.0,1.0,PH153604010
88.0,1.0,PH153604011
226.0,1.0,PH153604012
55.0,1.0,PH153604020
151.0,1.0,PH153604027
130.0,1.0,PH153604028
88.0,1.0,PH153604031
18.0,1.0,PH153604032
52.0,1.0,PH153604033
13.0,1.0,PH153604036
146.0,1.0,PH153604038
81.0,1.0,PH153604042
150.0,1.0,PH153604048
55.0,1.0,PH153604051
96.0,1.0,PH153604052
78.0,1.0,PH153604053
93.0,1.0,PH153604056
174.0,1.0,PH153605001
117.0,1.0,PH153605002
198.0,1.0,PH153605005
128.0,1.0,PH153605009
141.0,1.0,PH153605014
189.0,1.0,PH153605018
171.0,1.0,PH153605023
88.0,1.0,PH153605024
68.0,1.0,PH153605034
59.0,1.0,PH153606003
235.0,1.0,PH153606004
105.0,1.0,PH153606006
177.0,1.0,PH153606008
140.0,1.0,PH153606012
191.0,1.0,PH153606014
70.0,1.0,PH153606017
83.0,1.0,PH153606019
59.0,1.0,PH153606022
61.0,1.0,PH153606023
103.0,1.0,PH153606028
50.0,1.0,PH153606030
77.0,1.0,PH153606032
36.0,1.0,PH153606035
187.0,1.0,PH153606037
99.0,1.0,PH153606048
132.0,1.0,PH153606053
96.0,1.0,PH153606054
67.0,1.0,PH153606058
198.0,1.0,PH153606060
213.0,1.0,PH153607013
184.0,1.0,PH153609003
53.0,1.0,PH153609004
78.0,1.0,PH153609007
186.0,1.0,PH153609009
97.0,1.0,PH153609013
122.0,1.0,PH153609015
120.0,1.0,PH153609029
183.0,1.0,PH153609032
74.0,1.0,PH153609033
150.0,1.0,PH153609034
68.0,1.0,PH153609053
227.0,1.0,PH153610009
248.0,1.0,PH153610025
138.0,1.0,PH153610030
124.0,1.0,PH153610034
80.0,1.0,PH153610035
158.0,1.0,PH153611004
119.0,1.0,PH153611020
326.0,1.0,PH153611031
180.0,1.0,PH153611040
122.0,1.0,PH153611041
150.0,1.0,PH153611044
152.0,1.0,PH153611066
235.0,1.0,PH153611078
242.0,1.0,PH153611079
122.0,1.0,PH153611081
296.0,1.0,PH153611082
85.0,1.0,PH153611094
155.0,1.0,PH153612001
120.0,1.0,PH153612008
131.0,1.0,PH153612035
138.0,1.0,PH153612050
99.0,1.0,PH153612051
105.0,1.0,PH153613001
120.0,1.0,PH153613003
78.0,1.0,PH153613006
94.0,1.0,PH153613007
129.0,1.0,PH153613013
144.0,1.0,PH153613016
110.0,1.0,PH153613017
116.0,1.0,PH153613021
49.0,1.0,PH153613022
119.0,1.0,PH153613023
114.0,1.0,PH153613028
127.0,1.0,PH153613030
103.0,1.0,PH153613036
159.0,1.0,PH153613043
78.0,1.0,PH153613044
75.0,1.0,PH153613049
78.0,1.0,PH153613050
81.0,1.0,PH153613051
122.0,1.0,PH153614003
154.0,1.0,PH153614004
88.0,1.0,PH153614005
155.0,1.0,PH153614006
172.0,1.0,PH153614007
40.0,1.0,PH153614010
88.0,1.0,PH153614017
136.0,1.0,PH153614031
104.0,1.0,PH153614032
121.0,1.0,PH153614033
145.0,1.0,PH153614034
126.0,1.0,PH153615004
183.0,1.0,PH153615006
169.0,1.0,PH153615017
133.0,1.0,PH153615019
428.0,1.0,PH153615021
127.0,1.0,PH153615027
251.0,1.0,PH153615034
195.0,1.0,PH153615038
216.0,1.0,PH153615053
99.0,1.0,PH153615059
109.0,1.0,PH153615061
81.0,1.0,PH153615063
225.0,1.0,PH153615064
226.0,1.0,PH153615070
147.0,1.0,PH153615071
213.0,1.0,PH153615075
180.0,1.0,PH153615079
207.0,1.0,PH153615081
190.0,1.0,PH153616009
196.0,1.0,PH153616039
95.0,1.0,PH153616044
197.0,1.0,PH153616059
126.0,1.0,PH153616063
103.0,1.0,PH153616083
342.0,1.0,PH153616106
193.0,1.0,PH153616110
200.0,1.0,PH153616112
166.0,1.0,PH153617003
316.0,1.0,PH153617007
230.0,1.0,PH153617013
125.0,1.0,PH153617014
669.0,2.0,PH153617015
310.0,1.0,PH153617016
237.0,1.0,PH153617017
133.0,1.0,PH153617019
172.0,1.0,PH153617021
306.0,1.0,PH153617022
138.0,1.0,PH153617023
611.0,2.0,PH153617024
261.0,1.0,PH153617027
297.0,1.0,PH153617029
191.0,1.0,PH153617030
260.0,1.0,PH153617032
500.0,1.0,PH153617035
740.0,2.0,PH153617036
387.0,1.0,PH153617040
183.0,1.0,PH153617042
336.0,1.0,PH153617043
295.0,1.0,PH153617045
301.0,1.0,PH153617046
396.0,1.0,PH153617049
413.0,1.0,PH153617051
292.0,1.0,PH153617052
163.0,1.0,PH153617063
100.0,1.0,PH153617064
636.0,2.0,PH153617065
197.0,1.0,PH153617068
263.0,1.0,PH153617069
388.0,1.0,PH153617071
139.0,1.0,PH153617074
494.0,1.0,PH153617079
432.0,1.0,PH153617080
688.0,2.0,PH153617083
148.0,1.0,PH153617085
272.0,1.0,PH153617086
192.0,1.0,PH153617089
385.0,1.0,PH153617097
176.0,1.0,PH153617098
232.0,1.0,PH153617101
211.0,1.0,PH153617103
226.0,1.0,PH153617110
446.0,1.0,PH153617111
315.0,1.0,PH153617113
344.0,1.0,PH153617117
120.0,1.0,PH153617119
474.0,1.0,PH153617120
156.0,1.0,PH153617123
283.0,1.0,PH153617124
405.0,1.0,PH153617126
323.0,1.0,PH153617127
247.0,1.0,PH153617129
231.0,1.0,PH153617133
152.0,1.0,PH153617134
227.0,1.0,PH153617136
105.0,1.0,PH153617137
469.0,1.0,PH153617138
255.0,1.0,PH153617139
91.0,1.0,PH153618002
91.0,1.0,PH153618004
195.0,1.0,PH153618077
101.0,1.0,PH153618090
105.0,1.0,PH153619002
125.0,1.0,PH153619005
218.0,1.0,PH153619011
99.0,1.0,PH153619013
159.0,1.0,PH153619014
224.0,1.0,PH153619018
108.0,1.0,PH153619019
110.0,1.0,PH153619026
92.0,1.0,PH153619027
82.0,1.0,PH153619028
144.0,1.0,PH153619035
145.0,1.0,PH153619037
97.0,1.0,PH153619038
179.0,1.0,PH153619039
94.0,1.0,PH153620006
63.0,1.0,PH153620011
143.0,1.0,PH153620015
154.0,1.0,PH153620019
142.0,1.0,PH153620029
123.0,1.0,PH153620037
134.0,1.0,PH153620045
153.0,1.0,PH153620046
161.0,1.0,PH153620057
119.0,1.0,PH153621002
119.0,1.0,PH153621008
79.0,1.0,PH153621012
122.0,1.0,PH153621013
265.0,1.0,PH153621015
71.0,1.0,PH153621017
117.0,1.0,PH153621025
123.0,1.0,PH153622001
152.0,1.0,PH153622007
113.0,1.0,PH153622008
107.0,1.0,PH153622012
138.0,1.0,PH153622013
95.0,1.0,PH153622015
148.0,1.0,PH153622018
178.0,1.0,PH153622027
168.0,1.0,PH153622034
102.0,1.0,PH153622043
118.0,1.0,PH153623005
71.0,1.0,PH153623035
92.0,1.0,PH153624013
104.0,1.0,PH153624014
68.0,1.0,PH153624028
136.0,1.0,PH153624032
101.0,1.0,PH153624038
153.0,1.0,PH153624042
89.0,1.0,PH153624054
86.0,1.0,PH153624055
46.0,1.0,PH153624057
87.0,1.0,PH153624077
49.0,1.0,PH153624079
160.0,1.0,PH153624081
249.0,1.0,PH153624086
98.0,1.0,PH153624092
72.0,1.0,PH153624093
89.0,1.0,PH153624095
121.0,1.0,PH153625001
128.0,1.0,PH153625006
157.0,1.0,PH153625007
124.0,1.0,PH153625012
199.0,1.0,PH153626002
101.0,1.0,PH153626004
139.0,1.0,PH153626008
88.0,1.0,PH153626009
91.0,1.0,PH153626010
252.0,1.0,PH153626011
159.0,1.0,PH153626013
145.0,1.0,PH153626015
98.0,1.0,PH153626020
139.0,1.0,PH153626022
102.0,1.0,PH153626024
82.0,1.0,PH153626027
93.0,1.0,PH153626032
55.0,1.0,PH153626034
136.0,1.0,PH153626037
151.0,1.0,PH153626039
106.0,1.0,PH153626040
81.0,1.0,PH153626041
170.0,1.0,PH153626042
116.0,1.0,PH153626046
106.0,1.0,PH153626047
62.0,1.0,PH153626052
101.0,1.0,PH153626058
123.0,1.0,PH153626062
150.0,1.0,PH153626064
128.0,1.0,PH153626067
149.0,1.0,PH153626077
137.0,1.0,PH153626078
157.0,1.0,PH153626080
93.0,1.0,PH153627003
111.0,1.0,PH153627007
148.0,1.0,PH153627008
62.0,1.0,PH153627009
40.0,1.0,PH153627010
63.0,1.0,PH153627012
126.0,1.0,PH153627013
96.0,1.0,PH153627021
79.0,1.0,PH153627028
109.0,1.0,PH153627029
72.0,1.0,PH153627035
135.0,1.0,PH153627036
71.0,1.0,PH153627037
92.0,1.0,PH153627038
104.0,1.0,PH153627043
136.0,1.0,PH153627049
171.0,1.0,PH153627051
112.0,1.0,PH153627055
62.0,1.0,PH153627058
81.0,1.0,PH153627060
160.0,1.0,PH153627062
99.0,1.0,PH153627063
138.0,1.0,PH153627064
60.0,1.0,PH153627069
64.0,1.0,PH153627070
93.0,1.0,PH153628001
109.0,1.0,PH153628016
142.0,1.0,PH153628017
146.0,1.0,PH153628033
76.0,1.0,PH153628038
130.0,1.0,PH153628039
97.0,1.0,PH153628041
147.0,1.0,PH153628042
116.0,1.0,PH153628046
263.0,1.0,PH153629004
184.0,1.0,PH153629005
267.0,1.0,PH153629011
146.0,1.0,PH153629019
167.0,1.0,PH153629027
241.0,1.0,PH153629037
429.0,1.0,PH153630036
125.0,1.0,PH153631002
113.0,1.0,PH153631004
97.0,1.0,PH153631006
118.0,1.0,PH153631008
248.0,1.0,PH153631010
197.0,1.0,PH153631011
149.0,1.0,PH153631012
114.0,1.0,PH153631016
350.0,1.0,PH153631017
177.0,1.0,PH153631020
207.0,1.0,PH153631021
169.0,1.0,PH153631023
87.0,1.0,PH153631027
85.0,1.0,PH153631029
103.0,1.0,PH153631031
140.0,1.0,PH153631032
193.0,1.0,PH153632008
175.0,1.0,PH153632015
83.0,1.0,PH153632018
167.0,1.0,PH153632031
139.0,1.0,PH153632038
286.0,1.0,PH153632041
135.0,1.0,PH153632042
122.0,1.0,PH153632050
144.0,1.0,PH153632052
157.0,1.0,PH153632054
110.0,1.0,PH153632055
106.0,1.0,PH153633003
75.0,1.0,PH153633005
134.0,1.0,PH153633007
85.0,1.0,PH153633008
53.0,1.0,PH153633009
41.0,1.0,PH153633010
103.0,1.0,PH153633013
117.0,1.0,PH153633017
57.0,1.0,PH153633020
156.0,1.0,PH153633021
104.0,1.0,PH153633022
128.0,1.0,PH153633023
48.0,1.0,PH153633025
185.0,1.0,PH153633029
71.0,1.0,PH153633033
89.0,1.0,PH153633035
69.0,1.0,PH153633037
102.0,1.0,PH153633038
70.0,1.0,PH153633039
52.0,1.0,PH153633040
28.0,1.0,PH153633043
39.0,1.0,PH153633044
154.0,1.0,PH153634001
154.0,1.0,PH153634003
85.0,1.0,PH153634005
135.0,1.0,PH153634011
195.0,1.0,PH153634013
204.0,1.0,PH153634015
93.0,1.0,PH153634016
154.0,1.0,PH153634024
142.0,1.0,PH153634025
107.0,1.0,PH153634038
136.0,1.0,PH153634041
60.0,1.0,PH153634045
98.0,1.0,PH153634048
141.0,1.0,PH153634051
94.0,1.0,PH153634052
167.0,1.0,PH153634053
80.0,1.0,PH153634054
145.0,1.0,PH153634056
265.0,1.0,PH153635024
236.0,1.0,PH153635035
142.0,1.0,PH153635049
159.0,1.0,PH153635050
243.0,1.0,PH153635053
145.0,1.0,PH153635054
121.0,1.0,PH153635061
148.0,1.0,PH153636004
123.0,1.0,PH153636010
154.0,1.0,PH153636012
179.0,1.0,PH153636019
127.0,1.0,PH153636023
144.0,1.0,PH153636026
108.0,1.0,PH153636036
181.0,1.0,PH153637001
91.0,1.0,PH153637002
62.0,1.0,PH153637003
64.0,1.0,PH153637008
74.0,1.0,PH153637009
144.0,1.0,PH153637010
167.0,1.0,PH153637013
190.0,1.0,PH153637014
25.0,1.0,PH153637015
167.0,1.0,PH153637017
33.0,1.0,PH153637019
86.0,1.0,PH153638002
131.0,1.0,PH153638004
140.0,1.0,PH153638005
86.0,1.0,PH153638006
87.0,1.0,PH153638007
85.0,1.0,PH153638009
115.0,1.0,PH153638012
117.0,1.0,PH153638013
79.0,1.0,PH153638018
204.0,1.0,PH153638024
284.0,1.0,PH153638026
110.0,1.0,PH153638027
81.0,1.0,PH153638029
87.0,1.0,PH153638041
104.0,1.0,PH153638042
133.0,1.0,PH153639002
173.0,1.0,PH153639005
114.0,1.0,PH153639006
314.0,1.0,PH153639012
162.0,1.0,PH153639013
132.0,1.0,PH153639015
338.0,1.0,PH153640002
137.0,1.0,PH153641002
182.0,1.0,PH153641004
128.0,1.0,PH153641005
258.0,1.0,PH153801011
743.0,2.0,PH153801035
445.0,1.0,PH153803054
165.0,1.0,PH153805013
254.0,1.0,PH153805016
254.0,1.0,PH153807011
110.0,1.0,PH153807017
388.0,1.0,PH153808002
394.0,1.0,PH153808004
329.0,1.0,PH153808011
237.0,1.0,PH153808023
190.0,1.0,PH153808038
810.0,2.0,PH153808046
406.0,1.0,PH153809008
155.0,1.0,PH153811029
310.0,1.0,PH153811031
96.0,1.0,PH153811034
1141.0,2.0,PH153812009
147.0,1.0,PH153812016
968.0,2.0,PH153812020
385.0,1.0,PH153812028
118.0,1.0,PH153812030
193.0,1.0,PH153812031
182.0,1.0,PH153812034
204.0,1.0,PH153812043
236.0,1.0,PH153812052
136.0,1.0,PH153814011
73.0,1.0,PH153814015
288.0,1.0,PH153814017
180.0,1.0,PH153816005
219.0,1.0,PH153816008
212.0,1.0,PH153816009
153.0,1.0,PH153816014
359.0,1.0,PH153816018
340.0,1.0,PH153816025
652.0,2.0,PH153816036
180.0,1.0,PH153816038
95.0,1.0,PH153819018
210.0,1.0,PH153820001
350.0,1.0,PH153820002
286.0,1.0,PH153820003
279.0,1.0,PH153820004
112.0,1.0,PH153820006
364.0,1.0,PH153825003
210.0,1.0,PH153825005
362.0,1.0,PH153825006
216.0,1.0,PH153825010
117.0,1.0,PH153827001
283.0,1.0,PH153827005
188.0,1.0,PH153827008
94.0,1.0,PH153827010
608.0,2.0,PH153829003
479.0,1.0,PH153832003
541.0,1.0,PH153832006
581.0,1.0,PH153832007
544.0,1.0,PH153833005
646.0,2.0,PH153835003
442.0,1.0,PH153835011
146.0,1.0,PH153836001
25.0,1.0,PH153836003
296.0,1.0,PH153836004
110.0,1.0,PH153836006
24.0,1.0,PH153836007
62.0,1.0,PH153836008
92.0,1.0,PH153836009
32.0,1.0,PH153836010
178.0,1.0,PH153836011
25.0,1.0,PH153836012
608.0,2.0,PH153836013
310.0,1.0,PH153837001
213.0,1.0,PH153837002
28.0,1.0,PH153837004
81.0,1.0,PH153837005
272.0,1.0,PH153837008
287.0,1.0,PH153837009
366.0,1.0,PH153837014
217.0,1.0,PH153837015
315.0,1.0,PH153837016
334.0,1.0,PH156601002
190.0,1.0,PH156601005
318.0,1.0,PH156601007
399.0,1.0,PH156601008
382.0,1.0,PH156601012
200.0,1.0,PH156601013
300.0,1.0,PH156601015
302.0,1.0,PH156601017
245.0,1.0,PH156601021
440.0,1.0,PH156601033
205.0,1.0,PH156601035
197.0,1.0,PH156601036
319.0,1.0,PH156604029
92.0,1.0,PH156605001
94.0,1.0,PH156605003
146.0,1.0,PH156605005
74.0,1.0,PH156605007
143.0,1.0,PH156605010
198.0,1.0,PH156605011
100.0,1.0,PH156605013
111.0,1.0,PH156605015
529.0,1.0,PH156605016
82.0,1.0,PH156605018
103.0,1.0,PH156605024
277.0,1.0,PH156607002
143.0,1.0,PH156607003
269.0,1.0,PH156607004
191.0,1.0,PH156607006
175.0,1.0,PH156607008
329.0,1.0,PH156607011
187.0,1.0,PH156607014
327.0,1.0,PH156607015
121.0,1.0,PH156607017
122.0,1.0,PH156607019
193.0,1.0,PH156607023
213.0,1.0,PH156607027
202.0,1.0,PH156607031
142.0,1.0,PH156607033
123.0,1.0,PH156607038
133.0,1.0,PH156607040
322.0,1.0,PH156607042
125.0,1.0,PH156607043
787.0,2.0,PH156609004
168.0,1.0,PH156609006
203.0,1.0,PH156609008
249.0,1.0,PH156609009
201.0,1.0,PH156609010
179.0,1.0,PH156609012
383.0,1.0,PH156609025
487.0,1.0,PH156609031
444.0,1.0,PH156609034
432.0,1.0,PH156609035
272.0,1.0,PH156609040
352.0,1.0,PH156609043
167.0,1.0,PH156609044
210.0,1.0,PH156610001
1048.0,2.0,PH156610013
137.0,1.0,PH156611002
245.0,1.0,PH156611005
232.0,1.0,PH156611006
222.0,1.0,PH156611016
738.0,2.0,PH156611017
178.0,1.0,PH156611018
93.0,1.0,PH156611019
163.0,1.0,PH156611020
119.0,1.0,PH156611022
162.0,1.0,PH156612001
93.0,1.0,PH156612006
207.0,1.0,PH156612013
132.0,1.0,PH156612026
158.0,1.0,PH156612038
96.0,1.0,PH156612041
118.0,1.0,PH156612065
107.0,1.0,PH156612067
239.0,1.0,PH156612071
395.0,1.0,PH156612073
129.0,1.0,PH156612080
325.0,1.0,PH156613010
298.0,1.0,PH156613020
256.0,1.0,PH156613023
210.0,1.0,PH156613024
359.0,1.0,PH156613029
504.0,1.0,PH156613032
264.0,1.0,PH156613035
390.0,1.0,PH156613043
287.0,1.0,PH156613055
279.0,1.0,PH156613058
159.0,1.0,PH156614030
475.0,1.0,PH156616005
496.0,1.0,PH156616009
123.0,1.0,PH156617006
187.0,1.0,PH156617013
228.0,1.0,PH156618001
129.0,1.0,PH156618008
73.0,1.0,PH156618013
147.0,1.0,PH156618015
195.0,1.0,PH156618016
209.0,1.0,PH157002015
264.0,1.0,PH157002019
132.0,1.0,PH157004010
444.0,1.0,PH157005022
66.0,1.0,PH157006001
112.0,1.0,PH157006005
92.0,1.0,PH157006007
127.0,1.0,PH157006009
288.0,1.0,PH157006010
394.0,1.0,PH157006012
169.0,1.0,PH157006013
160.0,1.0,PH157006015
129.0,1.0,PH157006016
106.0,1.0,PH157006017
81.0,1.0,PH157006024
129.0,1.0,PH157006029
172.0,1.0,PH157006030
161.0,1.0,PH157006033
157.0,1.0,PH157006034
239.0,1.0,PH157006036
99.0,1.0,PH157006037
120.0,1.0,PH157006038
74.0,1.0,PH157006039
269.0,1.0,PH157007002
224.0,1.0,PH157007009
112.0,1.0,PH157007012
565.0,1.0,PH157007033
217.0,1.0,PH157007041
141.0,1.0,PH157007044
137.0,1.0,PH157007047
128.0,1.0,PH157007048
230.0,1.0,PH157007051
183.0,1.0,PH157008002
63.0,1.0,PH157010007
289.0,1.0,PH157010017
193.0,1.0,PH157010018
210.0,1.0,PH157010023
258.0,1.0,PH157011001
180.0,1.0,PH157011003
294.0,1.0,PH157011005
302.0,1.0,PH157011006
390.0,1.0,PH157011016
247.0,1.0,PH150710005
134.0,1.0,PH153601019
225.0,1.0,PH153602004
142.0,1.0,PH153602011
149.0,1.0,PH153602032
38.0,1.0,PH153603051
199.0,1.0,PH153605019
376.0,1.0,PH153605025
198.0,1.0,PH153606027
108.0,1.0,PH153606033
208.0,1.0,PH153609002
115.0,1.0,PH153613012
252.0,1.0,PH153613014
117.0,1.0,PH153613015
48.0,1.0,PH153613041
380.0,1.0,PH153615080
131.0,1.0,PH153616055
203.0,1.0,PH153616071
130.0,1.0,PH153616111
172.0,1.0,PH153617001
118.0,1.0,PH153617037
438.0,1.0,PH153617048
741.0,2.0,PH153617058
369.0,1.0,PH153617062
1201.0,2.0,PH153617077
388.0,1.0,PH153617105
354.0,1.0,PH153617109
523.0,1.0,PH153617116
646.0,2.0,PH153617131
431.0,1.0,PH153617143
165.0,1.0,PH153618005
152.0,1.0,PH153619043
97.0,1.0,PH153621031
90.0,1.0,PH153623015
142.0,1.0,PH153624001
109.0,1.0,PH153624024
100.0,1.0,PH153624048
101.0,1.0,PH153624064
123.0,1.0,PH153626079
89.0,1.0,PH153627050
93.0,1.0,PH153627071
340.0,1.0,PH153630012
235.0,1.0,PH153631009
106.0,1.0,PH153631024
214.0,1.0,PH153631028
83.0,1.0,PH153633030
138.0,1.0,PH153634037
539.0,1.0,PH153808047
1450.0,2.0,PH153812006
629.0,2.0,PH153825009
5914.0,3.0,PH153833007
191.0,1.0,PH157006028
142.0,1.0,PH157011010
